"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,JCR Abbreviated Title,Total Cites,Journal Impact Factor,Eigenfactor Score
98,Nature Reviews Cardiology,NAT REV CARDIOL,"6,301",17.420,0.018800
99,EUROPEAN UROLOGY,EUR UROL,"30,782",17.298,0.070900
100,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,"12,706",17.214,0.011270
101,Science Translational Medicine,SCI TRANSL MED,"30,485",17.200,0.121930
102,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,"9,377",17.194,0.010250
102,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,"9,377",17.194,0.010250
104,Nature Biomedical Engineering,NAT BIOMED ENG,"1,540",17.135,0.006440
105,TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,"17,448",16.889,0.031370
106,Annual Review of Materials Research,ANNU REV MATER RES,"8,086",16.816,0.007830
107,REVIEWS OF GEOPHYSICS,REV GEOPHYS,"11,762",16.725,0.012890
108,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,"18,176",16.620,0.031770
109,BLOOD,BLOOD,"161,908",16.601,0.241110
110,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,"14,380",16.588,0.034100
111,Nano Today,NANO TODAY,"7,980",16.582,0.012950
112,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,"63,074",16.494,0.091110
113,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,"50,710",16.405,0.027090
113,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,"50,710",16.405,0.027090
115,ACS Energy Letters,ACS ENERGY LETT,"10,134",16.331,0.031350
116,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,"27,095",16.173,0.040040
116,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,"27,095",16.173,0.040040
118,JAMA Psychiatry,JAMA PSYCHIAT,"10,894",15.916,0.055520
118,JAMA Psychiatry,JAMA PSYCHIAT,"10,894",15.916,0.055520
120,Lancet Global Health,LANCET GLOB HEALTH,"6,109",15.873,0.034340
120,Lancet Global Health,LANCET GLOB HEALTH,"6,109",15.873,0.034340
122,CIRCULATION RESEARCH,CIRC RES,"52,988",15.862,0.072270
123,Advanced Science,ADV SCI,"8,129",15.804,0.021030
124,Cell Host & Microbe,CELL HOST MICROBE,"17,787",15.753,0.063220
125,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,"95,431",15.621,0.175960
126,FUNGAL DIVERSITY,FUNGAL DIVERS,"4,234",15.596,0.006410
127,Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,"2,763",15.588,0.011190
128,Nano Energy,NANO ENERGY,"37,106",15.548,0.087250
129,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,"36,350",15.519,0.037420
130,DIABETES CARE,DIABETES CARE,"71,305",15.270,0.096200
131,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,"11,790",15.255,0.010610
132,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,"36,697",15.236,0.035920
133,Annual Review of Marine Science,ANNU REV MAR SCI,"3,870",15.225,0.008360
134,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,"10,695",15.221,0.010560
135,ENDOCRINE REVIEWS,ENDOCR REV,"13,381",15.167,0.008900
136,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,"1,788",15.143,0.003730
137,HEPATOLOGY,HEPATOLOGY,"65,892",14.971,0.095200
138,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,"26,534",14.874,0.097940
139,SURFACE SCIENCE REPORTS,SURF SCI REP,"4,655",14.824,0.002470
140,MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,"46,915",14.797,0.092160
141,Lancet HIV,LANCET HIV,"2,417",14.753,0.014260
142,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,J AM CHEM SOC,"550,343",14.695,0.674630
143,Nature Microbiology,NAT MICROBIOL,"4,996",14.633,0.027410
144,Living Reviews in Solar Physics,LIVING REV SOL PHYS,"1,071",14.625,0.002610
145,MOLECULAR CELL,MOL CELL,"62,812",14.548,0.170650
146,Nature Geoscience,NAT GEOSCI,"24,174",14.480,0.074160
147,Alzheimers & Dementia,ALZHEIMERS DEMENT,"13,341",14.423,0.036320
148,NEURON,NEURON,"95,348",14.403,0.218590
149,Materials Horizons,MATER HORIZ,"4,587",14.356,0.013710
150,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,"44,754",14.299,0.082790
151,APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,"74,797",14.229,0.092290
152,ANNALS OF ONCOLOGY,ANN ONCOL,"40,751",14.196,0.103780
153,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,"51,978",14.110,0.076210
154,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,"5,555",14.098,0.011110
154,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,"5,555",14.098,0.011110
156,GENOME BIOLOGY,GENOME BIOL,"38,920",14.028,0.133250
157,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,"21,520",14.006,0.024080
158,Light-Science & Applications,LIGHT-SCI APPL,"5,894",14.000,0.019170
159,Advances in Optics and Photonics,ADV OPT PHOTONICS,"2,494",13.963,0.005220
160,ACS Nano,ACS NANO,"152,659",13.903,0.325680
161,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,"4,585",13.833,0.008460
162,TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,"15,857",13.747,0.019230
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,"3,892",13.744,0.005790
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,"3,892",13.744,0.005790
165,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,"43,025",13.655,0.036340
165,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,"43,025",13.655,0.036340
167,COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,"32,760",13.476,0.034900
168,Nature Plants,NAT PLANTS,"3,979",13.297,0.020090
169,IEEE Industrial Electronics Magazine,IEEE IND ELECTRON M,"1,884",13.241,0.003880
170,National Science Review,NATL SCI REV,"1,842",13.222,0.006500
171,TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,"12,153",13.000,0.025460
172,HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,"9,206",12.878,0.014390
173,Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,"1,649",12.856,0.007430
174,ACS Central Science,ACS CENTRAL SCI,"4,160",12.837,0.017830
175,BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,"18,021",12.831,0.020270
176,Science Advances,SCI ADV,"21,901",12.804,0.109970
177,Applied Physics Reviews,APPL PHYS REV,"2,404",12.750,0.008230
178,PROGRESS IN LIPID RESEARCH,PROG LIPID RES,"5,839",12.540,0.007150
179,Journal of Thoracic Oncology,J THORAC ONCOL,"16,601",12.460,0.038880
180,JAMA Neurology,JAMA NEUROL,"8,683",12.321,0.042020
181,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,"20,163",12.314,0.024470
182,Academy of Management Annals,ACAD MANAG ANN,"3,693",12.289,0.009790
183,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,"108,879",12.282,0.139940
184,NANO LETTERS,NANO LETT,"163,570",12.279,0.300590
185,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,"327,734",12.257,0.546580
185,Annual Review of Biomedical Engineering,ANNU REV BIOMED ENG,"4,634",12.257,0.004980
187,ACS Catalysis,ACS CATAL,"55,465",12.221,0.140810
188,Physical Review X,PHYS REV X,"13,462",12.211,0.074260
189,Annual Review of Biophysics,ANNU REV BIOPHYS,"2,878",12.175,0.008460
190,Nature Chemical Biology,NAT CHEM BIOL,"21,428",12.154,0.061160
191,EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,"12,582",12.129,0.025910
192,NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,"27,166",12.109,0.069430
193,Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,"7,820",12.103,0.009900
194,Annual Review of Neuroscience,ANNU REV NEUROSCI,"14,042",12.043,0.015010
195,JAMA Pediatrics,JAMA PEDIATR,"8,016",12.004,0.044290
196,Lancet Haematology,LANCET HAEMATOL,"1,934",11.990,0.010550
197,Annual Review of Physical Chemistry,ANNU REV PHYS CHEM,"8,622",11.982,0.010890
198,TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,"12,514",11.974,0.020690
199,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,"20,353",11.973,0.049280
200,Nature Communications,NAT COMMUN,"243,793",11.878,1.103160
201,NATURAL PRODUCT REPORTS,NAT PROD REP,"11,039",11.876,0.014860
202,JAMA Cardiology,JAMA CARDIOL,"3,280",11.866,0.019300
203,BRAIN,BRAIN,"52,970",11.814,0.073990
204,EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,"38,502",11.807,0.064040
205,Annual Review of Entomology,ANNU REV ENTOMOL,"12,624",11.796,0.009680
206,QUARTERLY JOURNAL OF ECONOMICS,Q J ECON,"28,500",11.775,0.055270
207,PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,"6,284",11.768,0.010010
208,DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,"2,856",11.708,0.003590
209,IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,"27,444",11.683,0.040210
210,Journal of Statistical Software,J STAT SOFTW,"20,164",11.655,0.049130
211,BRITISH JOURNAL OF SPORTS MEDICINE,BRIT J SPORT MED,"21,929",11.645,0.039730
212,Lancet Public Health,LANCET PUBLIC HEALTH,799,11.600,0.003770
212,Lancet Public Health,LANCET PUBLIC HEALTH,799,11.600,0.003770
214,FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,"12,528",11.524,0.015950
215,TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,"12,317",11.523,0.018170
216,BIOLOGICAL PSYCHIATRY,BIOL PSYCHIAT,"43,122",11.501,0.053290
217,Nature Protocols,NAT PROTOC,"40,341",11.334,0.081330
218,IMMUNOLOGICAL REVIEWS,IMMUNOL REV,"15,517",11.292,0.027030
219,EMBO JOURNAL,EMBO J,"65,212",11.227,0.067990
220,NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,"181,592",11.147,0.402430
221,Autophagy,AUTOPHAGY,"16,161",11.059,0.032620
222,PLOS MEDICINE,PLOS MED,"30,689",11.048,0.071200
223,Physics of Life Reviews,PHYS LIFE REV,"1,514",11.045,0.002650
224,TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,"9,946",11.028,0.018890
225,IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,"7,804",11.000,0.017870
225,Journal of Extracellular Vesicles,J EXTRACELL VESICLES,"3,675",11.000,0.012110
227,JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,"8,801",10.975,0.026170
228,Nature Ecology & Evolution,NAT ECOL EVOL,"3,206",10.965,0.016660
229,Earth System Science Data,EARTH SYST SCI DATA,"2,351",10.951,0.010800
230,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,"10,483",10.935,0.015290
231,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,"63,983",10.892,0.071770
232,Genome Medicine,GENOME MED,"5,264",10.886,0.023220
233,Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,"20,257",10.878,0.011780
234,Small,SMALL,"49,968",10.856,0.091440
235,Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,"9,734",10.833,0.016760
236,Molecular Plant,MOL PLANT,"9,274",10.812,0.027130
237,Annual Review of Public Health,ANNU REV PUBL HEALTH,"6,769",10.776,0.011690
237,Annual Review of Public Health,ANNU REV PUBL HEALTH,"6,769",10.776,0.011690
239,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,"3,427",10.764,0.006410
240,Journal of Cachexia Sarcopenia and Muscle,J CACHEXIA SARCOPENI,"2,799",10.754,0.005860
241,Journal of Materials Chemistry A,J MATER CHEM A,"126,337",10.733,0.295180
242,Information Fusion,INFORM FUSION,"4,746",10.716,0.008360
243,PROCEEDINGS OF THE IEEE,P IEEE,"34,533",10.694,0.028250
244,Molecular Cancer,MOL CANCER,"11,626",10.679,0.021340
245,JAMA Surgery,JAMA SURG,"6,432",10.668,0.034060
246,Advances in Applied Mechanics,ADV APPL MECH,"1,381",10.667,0.000280
247,PROGRESS IN NEUROBIOLOGY,PROG NEUROBIOL,"12,929",10.658,0.013220
248,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,"35,903",10.632,0.011690
249,TRENDS IN GENETICS,TRENDS GENET,"11,959",10.627,0.021110
250,EMBO Molecular Medicine,EMBO MOL MED,"7,507",10.624,0.025980
251,Nature Human Behaviour,NAT HUM BEHAV,"1,230",10.575,0.006540
251,Nature Human Behaviour,NAT HUM BEHAV,"1,230",10.575,0.006540
253,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,"88,430",10.556,0.133610
254,Science Immunology,SCI IMMUNOL,"1,292",10.551,0.007570
255,SLEEP MEDICINE REVIEWS,SLEEP MED REV,"6,920",10.517,0.010910
256,Nature Astronomy,NAT ASTRON,"1,493",10.500,0.006480
257,IEEE Transactions on Smart Grid,IEEE T SMART GRID,"22,572",10.486,0.043980
258,Microbiome,MICROBIOME,"4,428",10.465,0.018060
259,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,"17,370",10.427,0.030250
259,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,"17,370",10.427,0.030250
261,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,J PHOTOCH PHOTOBIO C,"3,934",10.405,0.003530
262,AGEING RESEARCH REVIEWS,AGEING RES REV,"6,539",10.390,0.015890
263,IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,"13,561",10.387,0.046070
264,IEEE COMMUNICATIONS MAGAZINE,IEEE COMMUN MAG,"24,753",10.356,0.053750
265,THORAX,THORAX,"22,808",10.307,0.029530
266,BIOLOGICAL REVIEWS,BIOL REV,"12,482",10.288,0.019270
267,BIOMATERIALS,BIOMATERIALS,"109,384",10.273,0.102150
267,PSYCHOLOGICAL INQUIRY,PSYCHOL INQ,"4,463",10.273,0.003270
269,SYSTEMATIC BIOLOGY,SYST BIOL,"16,961",10.266,0.020930
270,Annual Review of Microbiology,ANNU REV MICROBIOL,"10,068",10.242,0.009680
271,AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,"33,038",10.241,0.042560
272,JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,"36,790",10.211,0.051770
273,Annual Review of Phytopathology,ANNU REV PHYTOPATHOL,"7,936",10.200,0.007370
274,INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,INT REV PHYS CHEM,"1,789",10.172,0.002790
275,CHEMISTRY OF MATERIALS,CHEM MATER,"106,568",10.159,0.150250
276,Annual Review of Medicine,ANNU REV MED,"6,068",10.091,0.009020
276,NEURO-ONCOLOGY,NEURO-ONCOLOGY,"11,858",10.091,0.029130
278,GENOME RESEARCH,GENOME RES,"39,240",9.944,0.079590
278,LEUKEMIA,LEUKEMIA,"24,555",9.944,0.054750
280,AMERICAN JOURNAL OF HUMAN GENETICS,AM J HUM GENET,"36,007",9.924,0.063620
281,CLINICAL PSYCHOLOGY REVIEW,CLIN PSYCHOL REV,"16,566",9.904,0.021100
282,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,PERS SOC PSYCHOL REV,"6,314",9.903,0.006310
283,Molecular Systems Biology,MOL SYST BIOL,"8,936",9.800,0.019670
284,MEDICINAL RESEARCH REVIEWS,MED RES REV,"4,560",9.791,0.004920
285,TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS ENDOCRIN MET,"8,968",9.777,0.016630
286,IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,952,9.659,0.003270
287,SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,"6,992",9.658,0.010730
288,CHEST,CHEST,"50,453",9.657,0.053590
289,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,"661,118",9.580,1.021890
290,Annual Review of Chemical and Biomolecular Engineering,ANNU REV CHEM BIOMOL,"1,641",9.569,0.003340
291,Chemical Science,CHEM SCI,"43,152",9.556,0.129310
292,JACC-Cardiovascular Interventions,JACC-CARDIOVASC INTE,"11,555",9.544,0.033700
293,EARTH-SCIENCE REVIEWS,EARTH-SCI REV,"17,382",9.530,0.030090
294,BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,"57,168",9.518,0.077810
295,IEEE Internet of Things Journal,IEEE INTERNET THINGS,"6,119",9.515,0.010690
296,ANNALS OF NEUROLOGY,ANN NEUROL,"37,336",9.496,0.048610
297,ISME Journal,ISME J,"23,603",9.493,0.051310
298,ANNALS OF SURGERY,ANN SURG,"50,355",9.476,0.066650
299,GREEN CHEMISTRY,GREEN CHEM,"45,125",9.405,0.065440
300,PHARMACOLOGY & THERAPEUTICS,PHARMACOL THERAPEUT,"15,434",9.396,0.022530
301,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,J ACAD MARKET SCI,"11,493",9.360,0.006170
302,Analytic Methods in Accident Research,ANAL METHODS ACCID R,669,9.333,0.002420
302,Nature Reviews Urology,NAT REV UROL,"3,262",9.333,0.009550
304,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,"20,299",9.302,0.046080
305,Optica,OPTICA,"7,232",9.263,0.036170
306,Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,"8,108",9.235,0.009380
307,PHYSICAL REVIEW LETTERS,PHYS REV LETT,"448,064",9.227,0.578700
308,STUDIES IN MYCOLOGY,STUD MYCOL,"2,939",9.206,0.004180
309,npj Computational Materials,NPJ COMPUT MATER,954,9.200,0.003660
310,CURRENT BIOLOGY,CURR BIOL,"60,772",9.193,0.135820
311,DEVELOPMENTAL CELL,DEV CELL,"28,572",9.190,0.068750
312,Annual Review of Genetics,ANNU REV GENET,"7,478",9.184,0.011370
313,Cold Spring Harbor Perspectives in Biology,CSH PERSPECT BIOL,"15,375",9.110,0.041820
314,Ocular Surface,OCUL SURF,"2,304",9.108,0.005060
315,BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,"5,750",9.101,0.018010
316,Nanoscale Horizons,NANOSCALE HORIZ,888,9.095,0.002340
